"period";"yearmonth";"profilID";"insurer";"coverage";"type";"date_aspiration";"price"
"Y17W25";"Y17M06";"LOAN2017_0";"AsCourtage";"Minimum";"RESIDUAL";"2017-06-23";"1331"
"Y17W25";"Y17M06";"LOAN2017_0";"AXA";"Minimum";"CLASSIQUE";"2017-06-23";"2276"
"Y17W25";"Y17M06";"LOAN2017_0";"Cardif";"Minimum";"BANCASSUREUR";"2017-06-23";"2337"
"Y17W25";"Y17M06";"LOAN2017_0";"MAAF Assurances";"Minimum";"MUTUELLE";"2017-06-23";"2368"
"Y17W25";"Y17M06";"LOAN2017_0";"AsCourtage";"Formule Optimum";"RESIDUAL";"2017-06-23";"3455"
"Y17W25";"Y17M06";"LOAN2017_0";"Groupe AXA";"Minimum";"CLASSIQUE";"2017-06-23";"2474"
"Y17W25";"Y17M06";"LOAN2017_0";"Cardif";"Formule Optimum";"BANCASSUREUR";"2017-06-23";"3192"
"Y17W25";"Y17M06";"LOAN2017_1";"AsCourtage";"Minimum";"RESIDUAL";"2017-06-24";"818"
"Y17W25";"Y17M06";"LOAN2017_0";"Groupe AXA";"Formule Optimum";"CLASSIQUE";"2017-06-23";"3617"
"Y17W25";"Y17M06";"LOAN2017_1";"AsCourtage";"Formule Optimum";"RESIDUAL";"2017-06-24";"2037"
"Y17W25";"Y17M06";"LOAN2017_0";"MAAF Assurances";"Formule Optimum";"MUTUELLE";"2017-06-23";"4424"
"Y17W25";"Y17M06";"LOAN2017_0";"AXA";"Formule Optimum";"CLASSIQUE";"2017-06-23";"5327"
"Y17W25";"Y17M06";"LOAN2017_10";"AsCourtage";"Minimum";"RESIDUAL";"2017-06-24";"808"
"Y17W25";"Y17M06";"LOAN2017_1";"MAAF Assurances";"Minimum";"MUTUELLE";"2017-06-24";"1357"
"Y17W25";"Y17M06";"LOAN2017_1";"Groupe AXA";"Minimum";"CLASSIQUE";"2017-06-24";"1430"
"Y17W25";"Y17M06";"LOAN2017_100";"AsCourtage";"Minimum";"RESIDUAL";"2017-06-24";"746"
"Y17W25";"Y17M06";"LOAN2017_1";"AXA";"Minimum";"CLASSIQUE";"2017-06-24";"1575"
"Y17W25";"Y17M06";"LOAN2017_1";"Cardif";"Minimum";"BANCASSUREUR";"2017-06-24";"1579"
"Y17W25";"Y17M06";"LOAN2017_1";"Cardif";"Formule Optimum";"BANCASSUREUR";"2017-06-24";"2069"
"Y17W25";"Y17M06";"LOAN2017_1";"Groupe AXA";"Formule Optimum";"CLASSIQUE";"2017-06-24";"2166"
"Y17W25";"Y17M06";"LOAN2017_100";"AsCourtage";"Formule Optimum";"RESIDUAL";"2017-06-24";"1929"
"Y17W25";"Y17M06";"LOAN2017_1";"MAAF Assurances";"Formule Optimum";"MUTUELLE";"2017-06-24";"2391"
"Y17W25";"Y17M06";"LOAN2017_101";"AsCourtage";"Formule Optimum";"RESIDUAL";"2017-06-24";"12008"
"Y17W25";"Y17M06";"LOAN2017_1";"AXA";"Formule Optimum";"CLASSIQUE";"2017-06-24";"3645"
"Y17W25";"Y17M06";"LOAN2017_0";"Zen'up";"Minimum";"RESIDUAL";"2017-06-23";"1781"
"Y17W25";"Y17M06";"LOAN2017_0";"Zen'up";"Formule Optimum";"RESIDUAL";"2017-06-23";"3437"
"Y17W25";"Y17M06";"LOAN2017_10";"AXA";"Minimum";"CLASSIQUE";"2017-06-24";"1333"
"Y17W25";"Y17M06";"LOAN2017_10";"Cardif";"Minimum";"BANCASSUREUR";"2017-06-24";"1488"
"Y17W25";"Y17M06";"LOAN2017_10";"MAAF Assurances";"Minimum";"MUTUELLE";"2017-06-24";"1496"
"Y17W25";"Y17M06";"LOAN2017_10";"Groupe AXA";"Minimum";"CLASSIQUE";"2017-06-24";"1521"
"Y17W25";"Y17M06";"LOAN2017_1";"Zen'up";"Minimum";"RESIDUAL";"2017-06-24";"1037"
"Y17W25";"Y17M06";"LOAN2017_10";"Cardif";"Formule Optimum";"BANCASSUREUR";"2017-06-24";"2000"
"Y17W25";"Y17M06";"LOAN2017_1";"Zen'up";"Formule Optimum";"RESIDUAL";"2017-06-24";"1954"
"Y17W25";"Y17M06";"LOAN2017_10";"Groupe AXA";"Formule Optimum";"CLASSIQUE";"2017-06-24";"2285"
"Y17W25";"Y17M06";"LOAN2017_10";"Zen'up";"Minimum";"RESIDUAL";"2017-06-24";"1124"
"Y17W25";"Y17M06";"LOAN2017_10";"MAAF Assurances";"Formule Optimum";"MUTUELLE";"2017-06-24";"2805"
"Y17W25";"Y17M06";"LOAN2017_10";"AXA";"Formule Optimum";"CLASSIQUE";"2017-06-24";"3619"
"Y17W25";"Y17M06";"LOAN2017_10";"Zen'up";"Formule Optimum";"RESIDUAL";"2017-06-24";"2169"
"Y17W25";"Y17M06";"LOAN2017_100";"Groupe AXA";"Minimum";"CLASSIQUE";"2017-06-24";"1628"
"Y17W25";"Y17M06";"LOAN2017_100";"Groupe AVIVA";"Minimum";"CLASSIQUE";"2017-06-24";"1799"
"Y17W25";"Y17M06";"LOAN2017_102";"Zen'up";"Minimum";"RESIDUAL";"2017-06-23";"5459"
"Y17W25";"Y17M06";"LOAN2017_100";"Cardif";"Minimum";"BANCASSUREUR";"2017-06-24";"1395"
"Y17W25";"Y17M06";"LOAN2017_107";"Zen'up";"Formule Optimum";"RESIDUAL";"2017-06-24";"3316"
"Y17W25";"Y17M06";"LOAN2017_100";"AXA";"Minimum";"CLASSIQUE";"2017-06-24";"1215"
"Y17W25";"Y17M06";"LOAN2017_100";"Groupe AXA";"Formule Optimum";"CLASSIQUE";"2017-06-24";"2515"
"Y17W25";"Y17M06";"LOAN2017_144";"Zen'up";"Minimum";"RESIDUAL";"2017-06-24";"910"
"Y17W25";"Y17M06";"LOAN2017_100";"Cardif";"Formule Optimum";"BANCASSUREUR";"2017-06-24";"2165"
"Y17W25";"Y17M06";"LOAN2017_100";"Groupe AVIVA";"Formule Optimum";"CLASSIQUE";"2017-06-24";"3518"
"Y17W25";"Y17M06";"LOAN2017_100";"AXA";"Formule Optimum";"CLASSIQUE";"2017-06-24";"3489"
"Y17W25";"Y17M06";"LOAN2017_101";"AXA";"Minimum";"CLASSIQUE";"2017-06-24";"6593"
"Y17W25";"Y17M06";"LOAN2017_101";"Cardif";"Minimum";"BANCASSUREUR";"2017-06-24";"6415"
"Y17W25";"Y17M06";"LOAN2017_192";"Zen'up";"Minimum";"RESIDUAL";"2017-06-23";"8926"
"Y17W25";"Y17M06";"LOAN2017_101";"Groupe AXA";"Minimum";"CLASSIQUE";"2017-06-24";"10323"
"Y17W25";"Y17M06";"LOAN2017_101";"Groupe AVIVA";"Minimum";"CLASSIQUE";"2017-06-24";"7203"
"Y17W25";"Y17M06";"LOAN2017_208";"Zen'up";"Minimum";"RESIDUAL";"2017-06-24";"3050"
"Y17W25";"Y17M06";"LOAN2017_101";"Groupe AXA";"Formule Optimum";"CLASSIQUE";"2017-06-24";"15040"
"Y17W25";"Y17M06";"LOAN2017_101";"Cardif";"Formule Optimum";"BANCASSUREUR";"2017-06-24";"10453"
"Y17W25";"Y17M06";"LOAN2017_208";"Zen'up";"Formule Optimum";"RESIDUAL";"2017-06-24";"4809"
"Y17W25";"Y17M06";"LOAN2017_101";"AXA";"Formule Optimum";"CLASSIQUE";"2017-06-24";"8584"
"Y17W25";"Y17M06";"LOAN2017_102";"AXA";"Minimum";"CLASSIQUE";"2017-06-23";"4565"
"Y17W25";"Y17M06";"LOAN2017_102";"Groupe AVIVA";"Minimum";"CLASSIQUE";"2017-06-23";"5018"
"Y17W25";"Y17M06";"LOAN2017_102";"Groupe AXA";"Minimum";"CLASSIQUE";"2017-06-23";"5516"
"Y17W25";"Y17M06";"LOAN2017_102";"AsCourtage";"Formule Optimum";"RESIDUAL";"2017-06-23";"6268"
"Y17W25";"Y17M06";"LOAN2017_102";"SIMPL'ASSUR";"Formule Optimum";"CLASSIQUE";"2017-06-23";"7288"
"Y17W25";"Y17M06";"LOAN2017_102";"MAAF Assurances";"Formule Optimum";"MUTUELLE";"2017-06-23";"8345"
